SMILES,NumberOfAtom,Complement,PCE,VOC,JSC,FF,HOMO_Th,LUMO_Th,BandGap_Th
CC1(C)c2cc(C=C(C#N)C#N)sc2-c2sc(C=C(C#N)C#N)cc21,4,C60,0.0005,0.623,0.036,24,-0.248,-0.149,-0.099
CN1C(=O)C2=C(c3ccc(C=Cc4ccc(C(F)(F)F)cc4)s3)N(C)C(=O)C2=C1c1ccc(C=Cc2ccc(C(F)(F)F)cc2)s1,17,C60,3.4,0.86,5.26,43,-0.197,-0.119176471,-0.077823529
Cc1c(C)c(-c2ccc(C3=S=C(c4ccc(C=C(C#N)C#N)s4)C(C)=C3C)s2)sc1-c1ccc(C=C(C#N)C#N)s1,16,C60,3.4,1,10.6,49,-0.218125,-0.129,-0.089125
Cc1nc(-c2nc(C)c(-c3ccc(-c4ccc5c(c4)C(C)(C)c4ccccc4-5)s3)s2)sc1-c1cccs1,13,C60,0.52,0.76,1.7,40,-0.199,-0.090153846,-0.108846154
Cn1c2ccc(C=C(C#N)C#N)cc2c2cc(C=C(C#N)C#N)ccc21,4,C60,0.05,0.154,0.859,28,-0.25275,-0.119,-0.13375
Cc1ccc(-c2ccc(-c3ccc(-c4ccc(N(c5ccc(-c6ccc(-c7ccc(-c8ccc(C)s8)s7)s6)cc5)c5ccc(-c6ccc(-c7ccc(-c8ccc(C)s8)s7)s6)cc5)cc4)s3)s2)s1,14,C60,0.36,0.68,1.73,29,-0.183071429,-0.077142857,-0.105928571
C(=C1Sc2ccccc2S1)c1ccc(N(c2ccc(C=C3Sc4ccccc4S3)cc2)c2ccc(C=C3Sc4ccccc4S3)cc2)cc1,17,C60,0.11,0.4,0.87,32,-0.176,-0.047941176,-0.128058824
Cn1c2cc(C=C(C#N)C#N)sc2c2sc(C=C(C#N)C#N)cc21,9,C60,0.24,0.515,1.21,39,-0.248,-0.146,-0.102
CN1C(=O)C2=C(c3ccc(-c4ccc(C(F)(F)F)cc4)s3)N(C)C(=O)C2=C1c1ccc(-c2ccc(C(F)(F)F)cc2)s1,11,C60,0.3,0.48,1.91,35,-0.203,-0.118090909,-0.084909091
C=Cc1cc(OC)c(C=Cc2ccc(N(c3ccccc3)c3ccc(C=C(C#N)c4ccc([N+](=O)[O-])cc4)cc3)cc2)cc1OC,19,PC61BM,4.06,0.87,8.35,56,-0.200368421,-0.104842105,-0.095526316
C[Si]1(C)c2ccccc2-c2ccc(-c3ccc(-c4ccc(-c5cccs5)c5nsnc54)s3)cc21,17,PC61BM,5.4,0.9,9.5,51,-0.201117647,-0.105,-0.096117647
CC1(C)c2ccccc2-c2ccc(-c3ccc(C4=C(c5ccccc5)C(c5ccccc5)=C(c5cccs5)[Si]4(C)C)s3)cc21,5,PC61BM,2.01,0.65,8.67,35.8,-0.1884,-0.0828,-0.1056
Cc1csc(-c2c3nsnc3c(-c3cc(C)c(-c4cc5c(s4)c(C)c4ccsc4c5C)s3)c(F)c2F)c1,15,PC61BM,7.2,0.91,12.91,61.2,-0.198266667,-0.109933333,-0.088333333
CC1(C)c2ccccc2-c2ccc(-c3ccc(-c4ccc(-c5cccs5)c5c4=NC(c4ccccc4)C(c4ccccc4)N=5)s3)cc21,19,PC61BM,2.06,0.94,4.33,51,-0.195473684,-0.114578947,-0.080894737
COC(=O)c1sc2csc(-c3sc4c(c3F)c(OC)c3scc(F)c3c4OC)c2c1F,16,PC61BM,2.7,0.75,9.1,39.4,-0.21,-0.0943125,-0.1156875
COC(=O)c1cc2csc(-c3cccs3)c2s1,4,PC61BM,1,,,,-0.2115,-0.078,-0.1335
Cc1nc(-c2nc(C)c(-c3ccc(C4=S=C5c6sccc6C(C)(C)C5=C4)s3)s2)sc1-c1cccs1,17,PC61BM,3.04,0.7,8,53.7,-0.190294118,-0.091470588,-0.098823529
COC(=O)c1cc2csc(-c3ccc(-c4ccc(-c5sccc5C)s4)s3)c2s1,11,PC61BM,1.3,0.51,6.61,37,-0.193818182,-0.084272727,-0.109545455
C(=Cc1ccc(N(c2ccccc2)c2ccccc2)cc1)c1ccc(-c2ccc(-c3ccc(C=Cc4ccc(N(c5ccccc5)c5ccccc5)cc4)s3)c3nsnc32)s1,18,PC61BM,0.26,0.76,0.87,33,-0.182777778,-0.104722222,-0.078055556
COc1c2sc(-c3ccc(C4=C5C(=O)N(C)C(c6cccs6)=C5C(=O)N4C)s3)cc2cc2c1cc1cc(-c3ccc(C4=C5C(=O)N(C)C(c6cccs6)=C5C(=O)N4C)s3)sc1c2OC,16,PC61BM,4.06,0.84,11.27,42,-0.190625,-0.112625,-0.078
COC(=O)c1cc2c(csc2-c2sc3c(c2F)c(OC)c2scc(F)c2c3OC)s1,16,PC61BM,3.2,0.68,11,43.4,-0.2078125,-0.0924375,-0.115375
N#CC(C#N)=Cc1ccc(-c2ccc(N(c3ccc(-c4ccc(C=Cc5cccs5)s4)cc3)c3ccc(-c4ccc(C=Cc5cccs5)s4)cc3)cc2)s1,18,PC61BM,0.49,0.72,1.97,34,-0.197166667,-0.113388889,-0.083777778
Cc1ccsc1-c1sc(-c2sc(C3=S=C(c4sccc4C)C(C)=C3)cc2C)c2nc3c(nc21)-c1cccc2cccc-3c12,16,PC61BM,0.34,0.535,2.01,31,-0.1888125,-0.0964375,-0.092375
COc1ccc(C#Cc2c3ccccc3c(C#Cc3ccc(OC)c(OC)c3)c3ccccc23)cc1OC,14,PC61BM,1.27,0.89,3.1,45,-0.192928571,-0.092928571,-0.1
COc1ccc(N(c2ccc(OC)cc2)c2cccc(-n3c4ccccc4c4ccc(-c5ccc(-c6c7nsnc7c(-c7cccs7)c7nc(-c8ccccc8)c(-c8ccccc8)nc76)s5)cc43)c2)cc1,20,PC61BM,0.6,0.41,5.16,29,-0.1884,-0.12165,-0.06675
COc1ccc(-c2nc3c(-c4scc5c4OCCO5)ccc(-c4sc(-c5ccc6c(c5)C(C)(C)c5ccccc5-6)c5c4OCCO5)c3nc2-c2ccc(OC)cc2)cc1,20,PC61BM,1.1,0.66,3.7,44,-0.18695,-0.07865,-0.1083
Cc1nc2c(nc1C)c(-c1ccc(-c3ccc4c5ccccc5n(C)c4c3)s1)sc2-c1cccs1,18,PC61BM,1,0.56,4.41,41,-0.1865,-0.0965,-0.09
Cc1cc(C=C2C(=O)N(C)C(=O)N(C)C2=O)sc1-c1cc(C)c(-c2cc(C)c(-c3ccc(-c4sc(-c5sc(C6=S=C(C=C7C(=O)N(C)C(=O)N(C)C7=O)C=C6C)cc5C)cc4C)s3)s2)s1,18,PC61BM,4.05,0.9,7.54,60,-0.196722222,-0.116555556,-0.080166667
Cc1csc(-c2ccc(-c3cc(C)c(-c4cc5c(s4)c(C)c4ccsc4c5C)s3)c3nsnc32)c1,16,PC61BM,5,0.87,10.03,57.3,-0.1959375,-0.1055625,-0.090375
Cn1c2ccccc2c2ccc(-c3ccc(-c4sc(-c5cccs5)c5nc(-c6ccccc6)c(-c6ccccc6)nc54)s3)cc21,9,PC61BM,0.9,0.62,3.94,37,-0.188,-0.102777778,-0.085222222
Cc1ccc(-n2c(-c3ccsc3)nc3c2c2ccc(C)cc2c2cc(C)ccc32)cc1,2,PC61BM,4.1,0.61,11.3,60,-0.198,-0.0415,-0.1565
CC1(C)c2cc(-c3ccc(-c4ccc(-c5ccc(C=C(C#N)C#N)s5)s4)s3)ccc2-c2ccc(N(c3ccccc3)c3ccccc3)cc21,14,PC61BM,2.12,0.89,6.25,38,-0.199928571,-0.119642857,-0.080285714
COc1ccc(C#Cc2ccc(C#Cc3ccc(-c4ccc(-c5ccc(C#Cc6ccc(C#Cc7ccc(OC)c(OC)c7)cc6)s5)c5nsnc54)s3)cc2)cc1OC,19,PC61BM,0.14,0.74,0.69,27,-0.196947368,-0.113526316,-0.083421053
